Time, x, y, z,,,,,,,,,,,
5.643890858,None,None,None,,,,,,,,,,,
5.675801992,None,None,None,,,,,,,,,,,
5.699308872,None,None,None,,,,,,,,,,,
5.721473932,None,None,None,,,,,,,,,,,
5.744313955,None,None,None,,,,,,,,,,,
5.765861988,None,None,None,,,,,,,,,,,
5.793087959,None,None,None,,,,,,,,,,,
5.821555853,None,None,None,,,,,,,,,,,
5.850873947,None,None,None,,,,,,,,,,,
5.88135004,None,None,None,,,,,,,,,,,
5.9012959,None,None,None,,,,,,,,,,,
5.928549051,None,None,None,,,,,,,,,,,
5.951115847,None,None,None,,,,,,,,,,,
5.984434843,None,None,None,,,,,,,,,,,
6.009165049,None,None,None,,,,,,,,,,,
6.034328938,None,None,None,,,,,,,,,,,
6.064787865,None,None,None,,,,,change count,,,,,,
6.081760883,-1.685,-2.145,1.379,9.341891,-6.743549281,CHANGE,,231,,,,44,40,40
6.091387033,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,,,,,,,
6.366520882,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,Total duration,,,,,,
6.386769056,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,119.5637573,,,,Total,,
6.413768053,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,,,,,124,,
6.446259022,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,Sampling rate (HZ),,,,,,
6.469898939,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,1.932023593,,,,,,
6.495956898,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,,,,,,,
6.519899845,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,Sampling interval (s),,,,,,
6.542232037,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,0.517592023,,,,,,
6.572391033,-1.685,-2.145,1.379,9.341891,-6.743549281,STABLE,,,,,,,,
6.589050055,-1.838,-9.04,0.766,85.6866,-0.543294322,CHANGE,,,,,,,,
6.598752022,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.629101038,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.656986952,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.685091019,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.718071938,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.746470928,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.773323059,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
6.834794044,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
7.056570053,-1.838,-9.04,0.766,85.6866,-0.543294322,STABLE,,,,,,,,
7.08534193,-2.758,-14.404,-1.992,219.049844,5.000332564,CHANGE,,,,,,,,
7.113020897,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.126319885,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.154206038,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.234340906,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.264061928,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.306144953,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.340806007,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.367032051,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.404736996,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.426170826,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.462271929,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.493275881,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.531301022,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.592830896,-2.758,-14.404,-1.992,219.049844,5.000332564,STABLE,,,,,,,,
7.632336855,-3.217,-5.669,4.29,60.89075,-1.996747473,CHANGE,,,,,,,,
7.655009985,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.704795837,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.740200043,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.766873837,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.80367589,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.841478825,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.867583036,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.901922941,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.940393925,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
7.974128008,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
8.005138874,-3.217,-5.669,4.29,60.89075,-1.996747473,STABLE,,,,,,,,
